Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,46,1,28,0,1-2 Year,Yes,47535,26,226,1
Male,35,1,41,0,1-2 Year,Yes,2630,26,126,1
Male,33,1,45,0,1-2 Year,Yes,2630,156,283,1
Male,45,1,28,0,> 2 Years,Yes,40470,26,148,1
Male,45,1,15,0,1-2 Year,Yes,23021,154,151,0
Female,51,1,29,1,1-2 Year,No,30211,124,227,0
Male,71,1,47,0,1-2 Year,Yes,36119,122,158,0
Male,55,1,43,0,< 1 Year,Yes,43361,26,253,1
Female,30,1,46,0,1-2 Year,Yes,2630,156,223,1
Male,23,1,28,0,< 1 Year,Yes,52316,152,87,1
Male,26,1,41,1,< 1 Year,No,35678,152,159,0
Female,52,1,41,0,1-2 Year,Yes,34873,31,89,0
Female,26,1,46,1,< 1 Year,No,26041,152,208,0
Male,35,1,45,0,1-2 Year,Yes,24576,154,155,1
Male,26,1,28,0,< 1 Year,Yes,38809,152,239,1
Female,24,1,47,0,< 1 Year,No,37490,151,164,1
Male,75,1,28,1,1-2 Year,No,43660,122,246,0
Male,56,1,28,0,1-2 Year,Yes,39375,26,234,1
Male,41,1,45,0,1-2 Year,Yes,56658,26,292,1
Female,35,1,40,0,1-2 Year,Yes,2630,163,190,1
Male,72,1,9,0,1-2 Year,Yes,26838,26,59,1
Female,48,1,28,0,> 2 Years,Yes,52778,26,150,1
Male,45,1,15,1,1-2 Year,No,25605,124,274,0
Male,27,1,17,1,< 1 Year,Yes,29255,124,197,0
Male,32,1,14,0,1-2 Year,Yes,2630,124,203,0
Male,24,1,28,0,< 1 Year,Yes,31847,26,288,0
Female,22,1,3,0,< 1 Year,Yes,32277,152,220,0
Male,44,1,28,0,1-2 Year,Yes,26868,26,265,1
Female,44,1,28,0,1-2 Year,Yes,23348,26,153,0
Male,42,1,25,0,1-2 Year,Yes,24853,156,19,1
Male,61,1,28,1,1-2 Year,Yes,28416,26,84,0
Female,21,1,8,0,< 1 Year,Yes,56773,160,102,0
Male,53,1,28,0,1-2 Year,Yes,45669,26,46,0
Male,55,1,35,0,1-2 Year,Yes,38560,124,227,0
Female,45,1,18,0,1-2 Year,Yes,21359,26,252,1
Female,50,1,50,1,1-2 Year,No,28139,26,198,0
Male,33,1,1,1,< 1 Year,No,2630,152,293,0
Male,25,1,36,0,< 1 Year,Yes,39607,152,185,0
Female,54,1,12,0,1-2 Year,Yes,2630,156,135,1
Male,25,1,21,1,< 1 Year,No,40903,152,288,0
Female,26,1,35,0,< 1 Year,Yes,44000,152,83,1
Female,25,1,13,0,< 1 Year,No,28184,151,35,0
Male,51,1,7,0,1-2 Year,Yes,50830,154,118,1
Male,43,1,10,0,1-2 Year,Yes,36477,26,64,0
Male,38,1,30,1,1-2 Year,No,26381,154,299,0
Female,35,1,38,0,1-2 Year,Yes,24020,124,132,1
Female,35,1,46,0,1-2 Year,Yes,2630,156,191,1
Male,27,1,46,0,< 1 Year,Yes,30416,152,59,0
Female,27,1,3,1,< 1 Year,No,31178,152,182,0
Female,39,1,11,0,1-2 Year,No,2630,157,55,1
Male,45,1,20,1,1-2 Year,No,2630,124,89,0
Male,46,1,3,0,1-2 Year,Yes,33405,124,192,0
Male,50,1,8,0,1-2 Year,Yes,37490,124,153,0
Female,23,1,11,0,< 1 Year,Yes,31424,152,181,1
Male,39,1,28,0,1-2 Year,Yes,22898,154,43,0
Female,26,1,10,1,< 1 Year,No,20759,152,229,0
Male,34,1,19,0,1-2 Year,Yes,33300,26,154,1
Female,26,1,11,0,< 1 Year,Yes,29545,152,19,0
Male,40,1,11,0,1-2 Year,Yes,36057,124,128,1
Female,44,1,28,0,1-2 Year,Yes,52928,4,35,1
Female,36,1,28,1,1-2 Year,No,46007,24,200,0
Female,58,1,28,0,> 2 Years,Yes,36940,124,189,1
Female,38,1,28,0,1-2 Year,Yes,30019,26,18,1
Female,44,1,8,0,1-2 Year,No,44950,124,248,0
Female,28,1,12,0,1-2 Year,Yes,22722,124,52,1
Male,20,1,28,0,1-2 Year,Yes,45814,124,169,1
Male,44,1,28,0,1-2 Year,Yes,42065,124,222,1
Male,46,1,15,0,1-2 Year,Yes,28932,163,285,1
Male,53,1,2,1,1-2 Year,No,34772,124,285,0
Male,54,1,4,0,1-2 Year,Yes,23486,124,211,1
Male,25,1,6,1,< 1 Year,No,28893,152,102,0
Male,24,1,29,1,< 1 Year,No,37153,152,115,0
Male,55,1,28,0,1-2 Year,Yes,50555,60,258,0
Male,59,1,14,0,1-2 Year,Yes,22486,26,160,1
Female,22,1,47,0,< 1 Year,Yes,29785,152,79,0
Female,44,1,28,1,1-2 Year,No,24769,124,260,0
Male,36,1,36,1,1-2 Year,No,32430,152,257,0
Male,62,1,28,0,1-2 Year,No,2630,26,283,0
Male,56,1,28,0,1-2 Year,Yes,41400,30,68,0
Male,52,1,6,0,1-2 Year,Yes,2630,157,47,1
Male,50,1,33,0,1-2 Year,Yes,28979,163,295,1
Male,36,1,28,0,1-2 Year,Yes,2630,156,51,1
Female,47,1,23,0,1-2 Year,Yes,33488,26,248,1
Female,41,1,28,0,1-2 Year,Yes,2630,13,28,1
Male,51,1,8,0,1-2 Year,Yes,29690,26,52,1
Male,49,1,28,0,> 2 Years,Yes,46362,26,158,1
Female,47,1,35,0,> 2 Years,Yes,44616,26,201,1
Female,35,1,41,1,1-2 Year,No,2630,124,178,0
Female,37,1,29,1,1-2 Year,No,22835,152,79,0
Female,24,1,46,0,< 1 Year,Yes,25081,152,92,1
Female,24,1,38,0,< 1 Year,Yes,29399,152,85,1
Male,27,1,8,1,< 1 Year,No,42552,152,88,0
Female,55,1,28,0,1-2 Year,Yes,33923,26,150,1
Female,23,1,37,0,< 1 Year,Yes,33583,152,284,0
Female,28,1,41,1,< 1 Year,No,31672,152,228,0
Male,46,1,28,0,1-2 Year,Yes,35146,26,11,1
Female,21,1,15,0,< 1 Year,Yes,49842,160,30,0
Male,71,1,28,0,1-2 Year,Yes,34143,23,19,0
Male,33,1,41,0,1-2 Year,Yes,30242,31,247,1
Male,45,1,28,0,1-2 Year,Yes,31721,26,145,1
Male,55,1,48,0,1-2 Year,Yes,2630,157,154,1
Female,25,1,28,0,< 1 Year,Yes,30889,152,56,1
Female,35,1,35,0,1-2 Year,Yes,37785,124,53,1
Male,26,1,28,0,< 1 Year,Yes,60759,124,42,1
Male,48,1,28,0,> 2 Years,Yes,41620,124,28,1
Female,43,1,8,1,1-2 Year,No,31819,82,288,0
Male,31,1,24,0,1-2 Year,Yes,2630,156,31,0
Male,51,1,28,0,1-2 Year,Yes,40959,26,169,1
Male,39,1,46,1,1-2 Year,No,28250,124,79,0
Female,53,1,28,0,> 2 Years,Yes,30428,26,176,1
Male,32,1,28,0,< 1 Year,Yes,37135,124,74,1
Female,36,1,33,1,1-2 Year,No,2630,124,259,0
Female,46,1,15,0,1-2 Year,Yes,43668,26,20,1
Male,67,1,50,0,1-2 Year,Yes,31952,152,109,0
Male,51,1,28,0,1-2 Year,Yes,52069,26,139,0
Male,45,1,41,1,1-2 Year,No,26036,26,162,0
Female,25,1,28,0,< 1 Year,Yes,45984,152,133,0
Male,28,1,27,0,< 1 Year,No,32369,26,97,0
Male,36,1,18,0,1-2 Year,Yes,27800,26,292,1
Male,33,1,28,1,1-2 Year,No,30743,124,214,0
Female,23,1,50,1,< 1 Year,No,34948,152,60,0
Male,42,1,50,0,1-2 Year,Yes,2630,26,29,0
Female,22,1,8,1,< 1 Year,No,34245,152,37,0
Male,26,1,9,1,< 1 Year,No,30186,26,13,0
Female,39,1,16,1,1-2 Year,No,36047,124,120,0
Male,58,1,28,0,1-2 Year,Yes,77503,26,51,1
Male,50,1,28,0,1-2 Year,Yes,42666,26,241,1
Male,23,1,8,1,< 1 Year,No,44091,152,210,0
Male,41,1,46,0,1-2 Year,Yes,28872,11,51,1
Female,25,1,26,1,< 1 Year,No,35891,152,147,0
Female,23,1,15,0,< 1 Year,No,40237,152,105,0
Male,66,1,41,0,> 2 Years,Yes,38958,26,162,1
Male,70,1,28,0,1-2 Year,Yes,2630,124,111,1
Female,25,1,28,0,< 1 Year,Yes,58508,26,200,1
Male,53,1,41,0,1-2 Year,Yes,23040,124,263,1
Male,27,1,47,1,< 1 Year,No,21198,152,74,0
Male,46,1,15,0,1-2 Year,Yes,43065,124,146,0
Female,43,1,3,0,1-2 Year,Yes,31020,26,59,1
Female,23,1,46,1,< 1 Year,No,27191,152,44,0
Male,53,1,3,0,1-2 Year,Yes,33810,124,14,1
Female,21,1,47,1,< 1 Year,Yes,22230,152,279,0
Female,26,1,11,1,< 1 Year,No,31681,152,12,0
