State,County,Area,District,Latitude,Longitude,AveDbh8,ACONIF,HypoOcea,LobaOreg,LobaPulm,LobaScro,NephBell,NephHelv,NephResu,PeltColl,PseuAnom,PseuAnth,PseuCroc,SticFuli,SticLimb,PercentSlope,TransAspect,Elevation,PlotNum,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tday1,tday2,tday3,tday4,tday5,tday6,tday7,tday8,tday9,tday10,tday11,tday12,tave1,tave2,tave3,tave4,tave5,tave6,tave7,tave8,tave9,tave10,tave11,tave12,relh1,relh2,relh3,relh4,relh5,relh6,relh7,relh8,relh9,relh10,relh11,relh12,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,etpj1,etpj2,etpj3,etpj4,etpj5,etpj6,etpj7,etpj8,etpj9,etpj10,etpj11,etpj12,vpsa1,vpsa2,vpsa3,vpsa4,vpsa5,vpsa6,vpsa7,vpsa8,vpsa9,vpsa10,vpsa11,vpsa12,vpam1,vpam2,vpam3,vpam4,vpam5,vpam6,vpam7,vpam8,vpam9,vpam10,vpam11,vpam12,mind1,mind2,mind3,mind4,mind5,mind6,mind7,mind8,mind9,mind10,mind11,mind12,sfmm1,sfmm2,sfmm3,sfmm4,sfmm5,sfmm6,sfmm7,sfmm8,sfmm9,sfmm10,sfmm11,sfmm12,DegDays
OREGON,Klamath,Winema N.F.,Klamath,42.30395565,-122.2340536,19.4,44.89706,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.695365549,5.1,1018144,3.15014,5.31014,7.79086,11.26015,15.53015,19.72087,24.78087,25.36015,21.31015,14.93086,5.84001,2.39086,-5.86986,-5.10986,-3.71915,-1.69986,0.99001,4.18014,7.31085,7.18001,4.14,0.59929,-3.42999,-5.96986,-0.38986,1.20014,3.26085,6.15015,9.80015,13.60015,17.90086,18.20001,14.55001,9.28086,2.19001,-0.88986,-1.34986,0.10014,2.04085,4.78015,8.26015,11.95086,16.05086,16.27015,12.73001,7.77001,1.21001,-1.77986,66.3986,62.6,60.0085,56.9999,54.0999,52.8,49.8999,48.4999,49.5,54.3999,66.2,68.3,149.9899,123.1827,118.2913,91.6842,68.0914,41.3915,17.3,10.1,28.7,67.2913,166.4742,192.9813,0,4,9,20,34,49,61,52,32.001,15,4,0,593.014,666,771.085,944.015,1211.015,1557.015,2050.171,2089.002,1656.001,1169.086,715,572,394,417,463.085,539,656,823.014,1023.085,1014,821,637,474,391,1499.899,1119.827,903.913,316.842,-373.086,-1056.085,-1718,-1511,-673.03,207.913,1544.742,1929.813,8117.284,12181.333,18471.334,24943.275,29852.141,31943.098,31060.109,26361.262,20276.305,13852.333,9082.293,7119.265,24739.553
OREGON,Klamath,Winema N.F.,Klamath,42.3034,-122.1676,43.8,81.58519,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.750000031,5.5,1018148,2.65938,4.72891,7.20908,10.67915,14.95916,19.19908,24.29899,24.88899,20.80891,14.42971,5.34883,1.91938,-6.31086,-5.54078,-4.1407,-2.1107,0.5993,3.83002,7.03986,6.92977,3.88961,0.30961,-3.84014,-6.43006,-0.86078,0.67947,2.73883,5.63891,9.29963,13.13963,17.49947,17.80947,14.13938,8.86938,1.72938,-1.36069,-1.8207,-0.40053,1.53883,4.28883,7.77963,11.51955,15.66947,15.90938,12.3493,7.37002,0.7593,-2.24998,66.3999,62.9912,60.3912,57.2984,54.3071,53.0992,50.1992,48.8063,49.9063,54.8056,66.3064,68.1992,154.509,126.0051,120.2084,92.2037,67.2022,41.0047,16.4992,10.3,29.0976,68.5053,170.5153,198.7184,0,0,8,18,32.001,46.008,57.08,49.072,30.072,13.072,3,0,572.953,640.969,742.986,911.922,1170.939,1510.963,1998.971,2038.899,1612.867,1136.994,691.969,552.033,380.944,403.945,448.953,522.953,637.04,802.969,1003.969,996.04,806.024,624.017,459.024,377.017,1545.09,1260.051,954.084,382.037,-319.996,-970.203,-1604.486,-1418.239,-611.191,279.814,1615.153,1987.184,7176.233,11056.955,17241.049,23852.039,28757.152,30972.451,30047.461,25282.562,19085.293,12711.38,8102.924,6253.542,23517.461
OREGON,Klamath,Winema N.F.,Klamath,42.30299198,-122.1012928,26,45.8749,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.993844166,6.4,1018152,1.05677,2.71855,4.96997,8.31102,12.53105,16.82105,22.04997,22.75961,18.72961,12.39886,3.45747,0.31677,-7.34606,-6.73539,-5.49431,-3.45431,-0.74431,2.53569,6.08427,6.18286,3.27178,-0.24822,-4.85575,-7.47575,-2.24462,-0.99362,0.84852,3.67853,7.29928,11.18961,15.75819,16.22711,12.63677,7.41602,0.18602,-2.74431,-3.13464,-2.00289,-0.25253,2.42852,5.89822,9.67853,14.06713,14.47572,11.00569,6.07569,-0.69397,-3.57433,67.8,64.8858,62.3858,59.4858,56.5783,55.0889,52.4889,51.2858,52.7786,58.0887,68.6962,69.7786,189.5112,155.7395,143.9647,110.9897,77.1431,46.1608,17.3892,10.7967,33.6717,84.6178,209.2937,244.6576,0,0,0,14.033,27.106,41.033,54.002,48.002,30.106,14,0,0,517.25,567.286,649.322,794.461,1021.677,1328.822,1789.927,1843.852,1461.677,1030.427,618.286,498.25,351.142,368.142,405.144,473.144,578.177,732.317,940.283,946.25,772.069,599.139,425.142,348.036,1895.112,1557.395,1439.647,688.898,-68.85,-769.392,-1500.186,-1380.111,-566.458,412.178,2092.937,2446.576,9380.112,13516.954,19657.953,25743.986,30006.896,31716.176,30979.998,26962.305,21341.781,15168.839,10375.332,8349.528,19401.807
OREGON,Klamath,Winema N.F.,Klamath,42.40250199,-122.2328561,37.6,81.67936,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.987185027,5.2,1022144,3.03616,5.09761,7.49519,10.85846,15.06336,19.25094,24.34336,24.95519,20.98519,14.61008,5.57191,2.28616,-5.87711,-5.19953,-3.88384,-1.90384,0.70864,3.88616,7.04047,6.98472,4.00472,0.51144,-3.49711,-5.99201,-0.46384,1.04191,3.01191,5.82944,9.41008,13.19519,17.52519,17.87374,14.29374,9.05616,1.99864,-0.96384,-1.41384,-0.04384,1.80944,4.47944,7.89008,11.57191,15.69191,15.97374,12.49616,7.56289,1.03864,-1.84384,66.6183,62.8856,60.4242,57.4,54.3856,53.1425,50.0856,48.8,49.9,54.9183,66.7817,68.5307,164.129,138.0187,130.8089,103.4234,74.5953,42.2098,17.7,8.7425,30.8856,75.5809,186.1467,212.6323,0,0,9.242,19.752,34,48,60,52,33.242,16,4,0,590.144,658.472,757.719,923.799,1179.681,1516.519,2002.663,2046.702,1628.374,1151.799,705.144,568.655,393.327,414.327,458.144,530.655,642.392,806.472,1003.902,1000.144,813.144,633.327,471.144,390.144,1641.29,1380.187,1021.587,441.661,-308.047,-1017.902,-1683,-1524.575,-688.405,259.809,1741.467,2126.323,8935.986,13148.587,19348.75,25655.631,30147.566,31998.961,31220.01,26873.287,21095.135,14814.129,9996.023,7990.987,23938.678
OREGON,Klamath,Winema N.F.,Klamath,42.402,-122.1663,35.9,74.17326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.066987323,5,1022148,3.41366,5.63788,8.20788,11.68788,15.95788,20.14963,25.20788,25.76541,21.70788,15.30788,6.17366,2.69366,-5.84569,-5.03056,-3.58395,-1.60395,1.04605,4.22944,7.24183,7.07183,4.00422,0.43247,-3.40817,-5.95569,-0.22395,1.43366,3.56028,6.45028,10.08366,13.87541,18.13028,18.40119,14.73366,9.44605,2.39944,-0.70395,-1.20809,0.30366,2.31366,5.04366,8.50366,12.19366,16.22605,16.42119,12.85605,7.87431,1.38605,-1.62395,65.6422,61.9339,59.4,56.2,53.3239,52.0825,48.9,47.5,48.4578,53.2239,65.3084,67.4825,147.9192,123.0789,117.4037,90.9459,66.9156,37.4403,15.1825,8,27.9817,66.6395,166.8432,190.8009,0,3,9,19.761,34.247,49,60,50.586,30.586,13.586,3,0,600.422,677.183,787.844,963.844,1234.366,1585.302,2080.45,2115.879,1675.366,1182.605,725.761,579.422,394.422,419.761,468.422,542.422,658.422,826.183,1018.183,1006.183,813,630,474.422,391.247,1479.192,1146.789,895.037,316.633,-392.516,-1095.597,-1708.175,-1488.169,-637.766,245.225,1578.432,1908.009,6896.166,10838.017,17154.566,23999.961,29208.27,31546.775,30576.082,25521.232,19054.018,12513.777,7836.046,5975.672,25263.254
OREGON,Klamath,Winema N.F.,Klamath,42.401535,-122.0998878,38.9,94.88889,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.671010107,5.6,1022152,2.53064,4.55872,7.03639,10.47242,14.72492,18.96724,24.08889,24.69475,20.63286,14.25872,5.18269,1.81667,-6.46926,-5.70556,-4.31953,-2.31953,0.35047,3.58444,6.78592,6.70222,3.67455,0.09619,-4.00572,-6.59158,-1.00306,0.51667,2.56269,5.43269,9.06037,12.90502,17.27184,17.6065,13.95297,8.67814,1.56417,-1.48703,-1.96306,-0.56583,1.3602,4.0802,7.54269,11.27667,15.44064,15.70047,12.15694,7.18047,0.59047,-2.37953,66.188,62.8397,60.3337,57.2233,54.2983,53.0148,50.0148,48.7148,49.7983,54.7216,66.2545,67.9915,160.2563,132.9785,124.7007,96.1377,68.8219,39.0175,15.363,8.9751,29.6027,71.735,179.2357,207.6532,0,0,7.836,17.233,31.233,46,57.397,49.233,29.233,13.233,3,0,567.222,633.825,733.842,898.444,1152.064,1487.735,1970.804,2012.856,1593.297,1122.609,683.592,547.222,375.852,398.619,442.973,514.455,626.222,789.222,986.74,980.973,794.206,614.603,453.37,372.37,1602.563,1329.785,1004.104,444.393,-279.998,-989.825,-1625.684,-1436.467,-580.957,307.133,1702.357,2076.532,7071.43,11080.208,17408.053,24120.232,29196.348,31442.738,30501.889,25601.912,19257.184,12804.129,8068.451,6215.436,22921.818
OREGON,Klamath,Winema N.F.,Klamath,42.45177778,-122.2322556,39,77.58203,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.249999992,5.5,1024144,2.57484,4.4748,6.76648,10.04586,14.20224,18.40585,23.55585,24.21119,20.28119,13.9348,4.97951,1.84374,-6.1926,-5.57731,-4.34154,-2.37154,0.21846,3.39908,6.6663,6.69101,3.77163,0.29634,-3.83621,-6.3226,-0.87092,0.51374,2.38652,5.1548,8.69119,12.4948,16.89951,17.31013,13.77484,8.55846,1.50484,-1.36265,-1.80092,-0.54626,1.21542,3.83951,7.2148,10.90542,15.11312,15.45374,12.02846,7.11908,0.57484,-2.23092,67.0172,63.5131,60.9423,58.1361,55.1471,53.7423,50.7722,49.5722,50.7423,55.9361,67.4533,68.7234,181.2573,154.5679,145.6847,115.6371,80.9217,45.015,18.4722,9.0062,34.1899,84.9582,208.9645,235.7257,0,0,8,17.701,31.639,45.529,57.639,50.639,31.811,14.701,3,0,572.634,633.273,724.85,881.207,1123.484,1448.48,1925.057,1975.119,1574.484,1113.74,680.273,552.634,384.168,402.467,442.106,512.634,619.744,779.163,978.462,980.462,799.996,623.467,459.168,380.168,1812.573,1545.679,1208.847,625.339,-171.589,-915.716,-1602.083,-1479.743,-612.434,393.849,1999.645,2357.257,8929.666,13080.071,19282.871,25523.057,29959.662,31822.848,31029.764,26794.172,20999.404,14728.109,9913.189,7838.28,22420.279
OREGON,Klamath,Winema N.F.,Klamath,42.45131399,-122.1657181,21.3,49.27833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933012691,4.4,1024148,4.24306,6.68512,9.40884,12.95884,17.25884,21.42822,26.41884,26.91989,22.82989,16.40512,7.17679,3.54783,-5.37794,-4.47422,-2.91589,-0.96589,1.66473,4.81306,7.60578,7.33206,4.20206,0.60206,-2.93899,-5.47484,0.45411,2.28679,4.55512,7.47512,11.11679,14.88512,19.00679,19.20307,15.48783,10.17721,3.19306,0.00101,-0.55899,1.10783,3.24679,5.99679,9.46679,13.12512,17.01679,17.12783,13.51783,8.50411,2.12306,-0.95589,64.7895,60.8213,58.2105,54.9105,52,50.769,47.4105,46.0105,46.8105,51.269,63.9105,66.469,126.0437,103.8809,100.2015,76.1282,58.5217,32.2899,13.1794,7.369,24.5794,55.8011,140.9921,161.213,0,5,12,23,38,53,64,55,35,17,5,0,630.895,719.578,845.307,1034.307,1322.369,1692.407,2197.884,2224.512,1758.783,1241.826,768.101,610.206,408.895,437.895,492.206,568.31,688.268,860.101,1043.682,1024.31,824.31,637.31,491.31,405.895,1260.437,898.809,630.015,71.282,-592.783,-1267.101,-1852.206,-1631.31,-804.206,31.011,1259.921,1612.13,8758.782,12809.356,19069.113,25476.584,30061.771,32041.799,31187.469,26814.275,20881.652,14546.263,9734.991,7734.019,27710.43
OREGON,Klamath,Winema N.F.,Chiloquin,42.44771389,-121.7665472,29.3,146.4265,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.003726924,5.6,1024172,2.56509,4.65526,7.30018,10.8951,15.29018,19.6151,24.80034,25.2751,21.01017,14.60493,5.50018,1.96509,-7.08983,-6.07999,-4.52999,-2.55491,0.22017,3.50017,6.58509,6.37509,3.15,-0.58,-4.54983,-7.23491,-1.22982,0.42509,2.64001,5.59509,9.35018,13.26509,17.62034,17.83001,13.97017,8.62492,1.54017,-1.64999,-2.25491,-0.70491,1.39001,4.17509,7.76018,11.56018,15.69526,15.82526,12.08509,7.01509,0.47526,-2.62983,64.2016,61.4967,59.0016,55.6475,52.7016,51.4492,48.2492,46.9492,47.9492,52.1983,63.7492,65.4475,128.2473,107.849,107.3473,80.2491,56.0491,37.1999,15.5508,12.4983,26.3,56.3491,142.9473,167.6473,0,0,8,18,32.525,47,59,50.033,30.525,13.525,3,0,558,629.509,738.476,908.525,1175.001,1523.509,2014.543,2041.017,1595.017,1119.001,682.509,541,358.508,387.492,436,506,620,784.509,973,959,765.492,584.984,435.492,354.492,1282.473,1078.49,825.473,262.491,-447.775,-1038.001,-1673.492,-1426.05,-652.75,144.216,1339.473,1676.473,7816.444,11862.387,18142.688,24670.432,29532.74,31647.523,30743.619,26084.816,19965.162,13511.727,8774.031,6876.402,23124.607
OREGON,Klamath,Winema N.F.,Chiloquin,42.44697778,-121.700025,33.7,88.94947,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.116977775,6.3,1024176,1.50923,3.28883,5.71365,9.16365,13.49847,17.88365,23.1737,23.72883,19.49883,13.12887,4.16883,0.90406,-7.72562,-6.84076,-5.43081,-3.43558,-0.64081,2.68442,6.05964,5.99964,2.83964,-0.90518,-5.21554,-7.87554,-2.12077,-0.69594,1.31883,4.19883,7.92883,11.89405,16.43406,16.74406,12.93406,7.59923,0.47401,-2.54594,-3.10081,-1.76599,0.14401,2.86405,6.42883,10.28405,14.61928,14.86919,11.16928,6.11442,-0.51594,-3.48072,65.3505,62.9518,60.5478,57.3526,54.5518,53.1518,50.1518,48.9522,50.1522,54.6522,65.4008,66.6518,153.5229,130.0707,128.8189,98.5149,66.2594,44.704,18.3518,14.7522,31.3558,69.5117,171.4266,201.2824,0,0,6,15,28.486,43,55.486,47.486,29,12.004,0,0,521.964,579.964,671.442,824.438,1066.923,1392.405,1868.888,1905.888,1490.406,1043.442,631.956,505.964,341.474,365.482,406.96,473.482,582.478,740.478,938.482,934.482,748.482,571,413.482,337.482,1535.229,1300.707,1102.189,535.149,-220.48,-842.96,-1536.556,-1324.552,-556.442,322.992,1714.266,2012.824,7782.678,11796.222,18071.055,24678.24,29592.352,31720.568,30825.682,26091.998,19915.43,13458.596,8740.745,6831.694,20293.453
